,feature_num,comb_num,r2,mae,mpea,timecost,feature_comb
0,5,437,0.0413,0.0285,0.0096,7.8631,"['date', 'CHN10', 'USDI', 'CPI', 'M1', 'GKBOND', 'MID']"
1,3,143,0.052200000000000024,0.0319,0.0106,2.8147,"['date', 'CHN10', 'GOVBOND', 'GKBOND', 'MID']"
2,5,175,0.05920000000000003,0.035,0.0119,2.8952,"['date', 'CHN10', 'USA10', 'USDI', 'GKBOND', 'MID', 'GOLD']"
3,8,75,0.06579999999999997,0.0374,0.0128,3.0002,"['date', 'CHN10', 'USA10', 'SHERONG', 'USDI', 'SHI', 'CPI', 'GKBOND', 'MID', 'GOLD']"
4,4,304,0.06630000000000003,0.0366,0.0125,3.5169,"['date', 'CHN10', 'GOVBOND', 'SHI', 'GKBOND', 'GOLD']"
5,3,162,0.06999999999999995,0.0375,0.0129,3.3285,"['date', 'CHN10', 'M1', 'GKBOND', 'MID']"
6,7,280,0.07069999999999999,0.0368,0.0126,3.0047,"['date', 'CHN10', 'SHERONG', 'USDI', 'GOVBOND', 'CPI', 'GKBOND', 'MID', 'GOLD']"
