,r2,mae,mpea,timecost,epochs,learning_rate,feature_comb
0,0.01429999999999998,0.0329,0.0104,2.5286,1000,0.01,"['date', 'CHN10', 'SHERONG', 'USDI', 'CPI', 'GKBOND', 'MID']"
1,0.014800000000000035,0.0302,0.0099,24.681,10000,0.001,"['date', 'CHN10', 'SHERONG', 'USDI', 'CPI', 'GKBOND', 'MID']"
2,0.016000000000000014,0.0321,0.0104,26.7599,10000,0.001,"['date', 'CHN10', 'USA10', 'R007', 'CPI', 'GKBOND']"
3,0.018000000000000016,0.0359,0.0112,25.0038,10000,0.1,"['date', 'CHN10', 'GOVBOND', 'M1', 'GKBOND', 'MID']"
4,0.01990000000000003,0.0411,0.0129,26.2054,10000,0.1,"['date', 'CHN10', 'USA10', 'R007', 'CPI', 'GKBOND']"
5,0.02080000000000004,0.0409,0.0127,2.4326,1000,0.01,"['date', 'CHN10', 'GOVBOND', 'M1', 'GKBOND', 'MID']"
6,0.021399999999999975,0.0422,0.0132,2.8223,1000,0.01,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'M1', 'GKBOND']"
7,0.022700000000000053,0.0384,0.0122,2.7604,1000,0.01,"['date', 'CHN10', 'USA10', 'R007', 'CPI', 'GKBOND']"
8,0.02639999999999998,0.0378,0.0125,24.8286,10000,0.01,"['date', 'CHN10', 'SHERONG', 'USDI', 'CPI', 'GKBOND', 'MID']"
