,r2,mae,mpea,timecost,epochs,learning_rate,feature_comb
0,0.014100000000000001,0.033,0.0106,23.091,10000,0.1,"['date', 'CHN10', 'R007', 'SHI', 'CPI', 'M1', 'GKBOND']"
1,0.014900000000000024,0.0328,0.0105,22.4977,10000,0.001,"['date', 'CHN10', 'R007', 'SHI', 'CPI', 'M1', 'GKBOND']"
2,0.01649999999999996,0.035,0.0109,2.3272,1000,0.1,"['date', 'CHN10', 'SHERONG', 'SHI', 'GKBOND', 'MID']"
3,0.016800000000000037,0.0335,0.0108,24.4958,10000,0.01,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'M1', 'GKBOND', 'GOLD']"
4,0.018100000000000005,0.0373,0.0119,2.2431,1000,0.01,"['date', 'CHN10', 'SHERONG', 'SHI', 'GKBOND', 'MID']"
5,0.01870000000000005,0.0351,0.0116,22.3709,10000,0.001,"['date', 'CHN10', 'USA10', 'USDI', 'GOVBOND', 'GKBOND']"
6,0.019499999999999962,0.0344,0.0109,23.3322,10000,0.01,"['date', 'CHN10', 'R007', 'SHI', 'CPI', 'M1', 'GKBOND']"
7,0.01970000000000005,0.0363,0.0115,22.546,10000,0.01,"['date', 'CHN10', 'USA10', 'CPI', 'GKBOND', 'GOLD']"
