,feature_num,comb_num,r2,mae,mpea,timecost,feature_comb
0,1,7,0.5123,0.1048,0.0356,2.7463,"['date', 'CHN10', 'ERSHOU']"
1,2,28,0.5341,0.1064,0.0359,3.2823,"['date', 'CHN10', 'JIANZHU', 'ERSHOU']"
2,5,113,0.5556,0.1059,0.0346,3.305,"['date', 'CHN10', 'PMI', 'OECD', 'XINJIAN', 'ERSHOU', 'IRBOND']"
3,8,6,0.5686,0.1022,0.0335,2.8591,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'JIANZHU', 'XINJIAN', 'ERSHOU', 'SPOT', 'IRBOND']"
4,3,82,0.6677,0.1182,0.0388,3.4061,"['date', 'CHN10', 'XINJIAN', 'ERSHOU', 'IRBOND']"
5,4,33,0.7708,0.1191,0.0392,3.3003,"['date', 'CHN10', 'INDU', 'PMI', 'XINJIAN', 'IRBOND']"
6,3,22,0.7715,0.122,0.0407,3.3109,"['date', 'CHN10', 'INDU', 'JIANZHU', 'IRBOND']"
7,5,25,0.8578,0.1288,0.0423,2.8402,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'SPOT', 'IRBOND']"
8,3,74,0.8608,0.1279,0.0416,2.7351,"['date', 'CHN10', 'OECD', 'SPOT', 'IRBOND']"
