,r2,mae,mpea,timecost,epochs,learning_rate,feature_comb
0,0.014700000000000046,0.0343,0.0108,2.3237,1000,0.01,"['date', 'CHN10', 'USA10', 'R007', 'CPI', 'M1', 'GKBOND', 'GOLD']"
1,0.014800000000000035,0.0312,0.0101,2.2401,1000,0.1,"['date', 'CHN10', 'USA10', 'R007', 'CPI', 'M1', 'GKBOND', 'GOLD']"
2,0.017000000000000015,0.0314,0.0103,23.4817,10000,0.001,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'GKBOND', 'GOLD']"
3,0.022299999999999986,0.0402,0.0122,2.3161,1000,0.001,"['date', 'CHN10', 'USA10', 'GOVBOND', 'SHI', 'GKBOND', 'GOLD']"
4,0.02300000000000002,0.0378,0.0123,23.7014,10000,0.1,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'GKBOND', 'GOLD']"
5,0.026000000000000023,0.0405,0.0133,2.3973,1000,0.01,"['date', 'CHN10', 'USA10', 'USDI', 'GOVBOND', 'GKBOND', 'GOLD']"
6,0.028299999999999992,0.0406,0.0133,23.6244,10000,0.01,"['date', 'CHN10', 'USA10', 'R007', 'CPI', 'M1', 'GKBOND', 'GOLD']"
7,0.03069999999999995,0.0358,0.0118,23.7221,10000,0.001,"['date', 'CHN10', 'SHERONG', 'USDI', 'GOVBOND', 'CPI', 'M1', 'GKBOND']"
8,0.036599999999999966,0.0445,0.0147,24.3021,10000,0.01,"['date', 'CHN10', 'SHERONG', 'USDI', 'GOVBOND', 'CPI', 'M1', 'GKBOND']"
