,r2,mae,mpea,timecost,epochs,learning_rate,feature_comb
0,0.014399999999999968,0.0305,0.0099,23.4021,10000,0.01,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'SHI', 'CPI', 'GKBOND']"
1,0.015100000000000002,0.0343,0.011,23.174,10000,0.001,"['date', 'CHN10', 'USA10', 'GOVBOND', 'GKBOND', 'GOLD']"
2,0.015700000000000047,0.0361,0.0114,2.3437,1000,0.1,"['date', 'CHN10', 'USDI', 'GOVBOND', 'CPI', 'M1', 'GKBOND', 'MID']"
3,0.023399999999999976,0.0349,0.0115,23.8052,10000,0.01,"['date', 'CHN10', 'USDI', 'GOVBOND', 'CPI', 'M1', 'GKBOND', 'MID']"
4,0.023599999999999954,0.0455,0.0143,2.4316,1000,0.01,"['date', 'CHN10', 'SHERONG', 'GKBOND']"
5,0.025599999999999956,0.0437,0.0139,23.4928,10000,0.1,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'SHI', 'CPI', 'GKBOND']"
6,0.027200000000000002,0.0404,0.0134,23.7969,10000,0.001,"['date', 'CHN10', 'USA10', 'SHERONG', 'CPI', 'GKBOND', 'MID', 'GOLD']"
7,0.029000000000000026,0.0463,0.015,23.6781,10000,0.1,"['date', 'CHN10', 'USA10', 'GOVBOND', 'CPI', 'GKBOND', 'MID', 'GOLD']"
8,0.032399999999999984,0.0379,0.0125,23.5275,10000,0.001,"['date', 'CHN10', 'USA10', 'GOVBOND', 'CPI', 'GKBOND', 'MID', 'GOLD']"
